i	part	claim_index	dup_of
1271	p3	1325	
1272	p3	1326	
1273	p3	1327	
1274	p3	1328	
1275	p3	1329	
1276	p3	1330	
1277	p3	1331	
1278	p3	1332	
1279	p3	1333	
1280	p3	1334	
1281	p3	1335	
1282	p3	1336	
1283	p3	1337	
1284	p3	1338	
1285	p3	1339	
1286	p3	1340	
1287	p3	1341	
1288	p3	1342	
1289	p3	1343	
1290	p3	1344	
1291	p3	1345	
1292	p3	1346	
1293	p3	1347	
1294	p3	1348	
1295	p3	1349	
1296	p3	1350	
1297	p3	1351	
1298	p3	1352	
1299	p3	1353	
1300	p3	1354	
1301	p3	1355	
1302	p3	1356	
1303	p3	1357	
1304	p3	1358	
1305	p3	1359	
1306	p3	1360	
1307	p3	1361	
1308	p3	1362	
1309	p3	1363	
1310	p3	1364	
1311	p3	1365	
1312	p3	1366	
1313	p3	1367	
1314	p3	1368	
1315	p3	1369	
1316	p3	1370	
1317	p3	1371	
1318	p3	1372	
1319	p3	1373	
1320	p3	1374	
1321	p3	1375	
1322	p3	1376	
1323	p3	1377	
1324	p3	1378	
1325	p3	1379	
1326	p3	1380	
1327	p3	1381	
1328	p3	1382	
1329	p3	1383	
1330	p3	1384	
1331	p3	1385	
1332	p3	1386	
1333	p3	1387	
1334	p3	1388	
1335	p3	1389	
1336	p3	1390	
1337	p3	1391	
1338	p3	1392	
1339	p3	1393	
1340	p3	1394	
1341	p3	1395	
1342	p3	1396	
1343	p3	1397	
1344	p3	1398	
1345	p3	1399	
1346	p3	1400	
1347	p3	1401	
1348	p3	1402	
1349	p3	1403	
1350	p3	1404	
1351	p3	1405	
1352	p3	1406	
1353	p3	1407	
1354	p3	1408	
1355	p3	1409	
1356	p3	1410	
1357	p3	1411	
1358	p3	1412	
1359	p3	1413	
1360	p3	1414	
1361	p3	1415	
1362	p3	1416	
1363	p3	1417	
1364	p3	1418	
1365	p3	1419	
1366	p3	1420	
1367	p3	1421	
1368	p3	1422	
1369	p3	1423	
1370	p3	1424	
1371	p3	1425	
1372	p3	1426	
1373	p3	1427	
1374	p4	1374	1320
1375	p4	1375	1321
1376	p4	1376	1322
1377	p4	1377	1323
1378	p4	1378	1324
1379	p4	1379	1325
1380	p4	1380	1326
1381	p4	1381	1327
1382	p4	1382	1328
