theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host
1170,3.5895150436524004,0.7595237613629159,0.2404762386370841,70.0,10.189278729612909
1171,3.5925830052281715,0.7631278242389439,0.2368721757610561,70.0,10.17379967448728
1172,3.5956509668039427,0.7666954480894264,0.2333045519105736,70.0,10.158561965606108
1173,3.5987189283797143,0.7702266687737251,0.2297733312262748,70.0,10.143562044616914
1174,3.601786889955485,0.7737215274711597,0.2262784725288402,70.0,10.12879642196838
1175,3.6048548515312566,0.7771800706387206,0.2228199293612794,70.0,10.11426167486448
1176,3.607922813107028,0.7806023499676272,0.2193976500323728,70.0,10.099954445292672
1177,3.6109907746828,0.7839884223387303,0.2160115776612697,70.0,10.085871438123071
1178,3.6140587362585705,0.7873383497767931,0.2126616502232069,70.0,10.072009419275592
1179,3.6171266978343417,0.7906521994036317,0.2093478005963683,70.0,10.058365213952428
1180,3.620194659410113,0.7939300433901617,0.2060699566098383,70.0,10.044935704933046
1181,3.623262620985885,0.7971719589073516,0.2028280410926484,70.0,10.031717830929248
1182,3.626330582561656,0.8003780280761026,0.1996219719238974,70.0,10.018708584997878
1183,3.629398544137427,0.8035483379160797,0.1964516620839203,70.0,10.005905013008809
1184,3.6324665057131984,0.806682980293474,0.193317019706526,70.0,9.993304212166251
1185,3.6355344672889696,0.8097820518677683,0.1902179481322317,70.0,9.980903329580961
1186,3.6386024288647407,0.8128456540374787,0.1871543459625213,70.0,9.968699560891677
1187,3.641670390440512,0.8158738928849005,0.1841261071150995,70.0,9.956690148933724
1188,3.644738352016284,0.8188668791198975,0.1811331208801025,70.0,9.944872382452989
1189,3.647806313592055,0.821824728022719,0.178175271977281,70.0,9.933243594863633
1190,3.650874275167826,0.8247475593858797,0.1752524406141202,70.0,9.921801163047826
1191,3.653942236743597,0.8276354974551273,0.1723645025448727,70.0,9.910542506195938
1192,3.657010198319369,0.8304886708694996,0.1695113291305004,70.0,9.899465084685742
1193,3.66007815989514,0.833307212600498,0.166692787399502,70.0,9.88856639899917
1194,3.663146121470911,0.8360912598904111,0.1639087401095889,70.0,9.877843988675165
1195,3.6662140830466825,0.8388409541897703,0.1611590458102297,70.0,9.867295431297553
1196,3.6692820446224537,0.841556441093994,0.158443558906006,70.0,9.856918341516419
1197,3.672350006198225,0.844237870279226,0.155762129720774,70.0,9.84671037010199
1198,3.675417967773997,0.8468853954373784,0.1531146045626216,70.0,9.836669203029782
1199,3.678485929349768,0.8494991742104151,0.1505008257895849,70.0,9.826792560595957
1200,3.6815538909255374,0.8520793681238922,0.1479206318761078,70.0,9.817078196561804
1201,3.68462185250131,0.8546261425197603,0.1453738574802397,70.0,9.807523897326437
1202,3.6876898140770815,0.857139666488471,0.142860333511529,70.0,9.79812748112665
1203,3.6907577756528527,0.8596201128004008,0.1403798871995991,70.0,9.788886797262998
1204,3.693825737228624,0.8620676578365996,0.1379323421634005,70.0,9.779799725351378
1205,3.696893698804395,0.8644824815189176,0.1355175184810824,70.0,9.77086417459904
1206,3.699961660380167,0.8668647672394902,0.1331352327605098,70.0,9.762078083104445
1207,3.7030296219559378,0.869214701789633,0.130785298210367,70.0,9.75343941718
1208,3.706097583531709,0.8715324752881652,0.1284675247118347,70.0,9.74494617069706
1209,3.709165545107481,0.8738182811091626,0.1261817188908374,70.0,9.736596364452408
1210,3.712233506683252,0.8760723158091903,0.1239276841908097,70.0,9.72838804555557
