theta_index,Omega_m,Omega_lambda,Omega_tot,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,frw_viable,in_toy_corridor,is_near_flat
105,0.8271032361300532,0.1728967638699468,1.0,0.1728967638699468,15.690537092212292,9.9126140239035,0,1,True
106,0.8239109363560169,0.1760890636439832,1.0,0.1760890636439832,15.670789108759164,9.925071490434766,0,1,True
107,0.8206809892891647,0.1793190107108354,1.0,0.1793190107108354,15.650935523213237,9.9377343079245,0,1,True
108,0.8174133273198345,0.1825866726801655,1.0,0.1825866726801655,15.63097879060848,9.950605301203266,0,1,True
109,0.8141078885010102,0.1858921114989897,1.0,0.1858921114989897,15.61092138149366,9.96368734330112,0,1,True
110,0.8107646165914635,0.1892353834085365,1.0,0.1892353834085365,15.59076578056992,9.976983356859105,0,1,True
111,0.807383461097603,0.192616538902397,1.0,0.192616538902397,15.570514485341162,9.990496315590088,0,1,True
112,0.803964377314034,0.196035622685966,1.0,0.196035622685966,15.550170004778623,10.004229245790912,0,1,True
113,0.8005073263627749,0.1994926736372251,1.0,0.1994926736372251,15.529734858000412,10.018185227908052,0,1,True
114,0.7970122752311747,0.2029877247688253,1.0,0.2029877247688253,15.50921157296761,10.032367398158778,0,1,True
115,0.7934791968084602,0.2065208031915398,1.0,0.2065208031915398,15.488602685197533,10.046778950210411,0,1,True
116,0.7899080699209543,0.2100919300790457,1.0,0.2100919300790457,15.467910736495432,10.061423136919814,0,1,True
117,0.7862988793659185,0.2137011206340816,1.0,0.2137011206340816,15.447138273705512,10.076303272135885,0,1,True
118,0.78265161594402,0.21734838405598,1.0,0.21734838405598,15.426287847482014,10.091422732567612,0,1,True
119,0.7789662764904279,0.2210337235095721,1.0,0.2210337235095721,15.405362011081433,10.106784959720516,0,1,True
120,0.7752428639044985,0.2247571360955015,1.0,0.2247571360955015,15.384363319176384,10.122393461904512,0,1,True
121,0.7714813871780692,0.2285186128219307,1.0,0.2285186128219307,15.36329432669208,10.13825181631624,0,1,True
122,0.7676818614223315,0.2323181385776685,1.0,0.2323181385776685,15.342157587665826,10.154363671199178,0,1,True
123,0.7638443078932952,0.2361556921067048,1.0,0.2361556921067048,15.320955654130431,10.170732748084962,0,1,True
124,0.7599687540158003,0.2400312459841997,1.0,0.2400312459841997,15.2996910750218,10.187362844119637,0,1,True
125,0.7560552334061255,0.2439447665938746,1.0,0.2439447665938746,15.27836639511149,10.204257834478506,0,1,True
126,0.752103785893112,0.247896214106888,1.0,0.247896214106888,15.256984153964371,10.22142167487388,0,1,True
127,0.7481144575378703,0.2518855424621297,1.0,0.2518855424621297,15.235546884922174,10.238858404159703,0,1,True
128,0.7440873006520077,0.2559126993479924,1.0,0.2559126993479924,15.214057114112908,10.256572147037764,0,1,True
129,0.7400223738143965,0.2599776261856035,1.0,0.2599776261856035,15.192517359486702,10.27456711687014,0,1,True
130,0.7359197418864754,0.2640802581135247,1.0,0.2640802581135247,15.170930129878244,10.292847618602918,0,1,True
131,0.731779476026067,0.268220523973933,1.0,0.268220523973933,15.149297924096006,10.311418051806498,0,1,True
132,0.7276016536997267,0.2723983463002733,1.0,0.2723983463002733,15.127623230038491,10.330282913837973,0,1,True
133,0.7233863586935837,0.2766136413064163,1.0,0.2766136413064163,15.105908523837536,10.349446803131702,0,1,True
134,0.7191336811227267,0.2808663188772733,1.0,0.2808663188772733,15.084156269028894,10.368914422624025,0,1,True
135,0.7148437174390494,0.2851562825609506,1.0,0.2851562825609506,15.062368915749932,10.388690583319113,0,1,True
