root_index,radius,maximum_krawczyk_ratio,real_lower,real_upper,imag_lower,imag_upper
65,1.0e-18,8.32318908317744486400937567055e-15,16.863825458701602357080636002325663987013113801241367163668938160009079433195544,16.86382545870160243569280755454254150007851714230185434853447430108665190957869,-0.000000000000000039306085776108438893904804814269850530623941606606791315136194069277353418738049,0.000000000000000039306085776108438893904804814269850530623941606606791315136194069277353418738049
66,1.0e-22,1.31219673767869118706529241128e-16,4.5207797978635982393961536194764247314996280467501752302859401830245459992488057,4.5207797978635982394220309088826111155623136455068233012111234653855109702050044,-0.000000000000000000012938644703093192031354878300750128342390456027253499781822721515583175527058403,0.000000000000000000012938644703093192031354878300750128342390456027253499781822721515583175527058403
67,1.0e-18,9.31273128267205779241968854445e-15,12.998370447465127679705279071051834797516758915605667632762957574496776498609095,12.99837044746512783714990021540520101532058804818418868793971256518896923665416,-0.000000000000000078722310572176683230468988009734702541500765767189749513319505866992408629654688,0.000000000000000078722310572176683230468988009734702541500765767189749513319505866992408629654688
68,1.0e-18,1.29412816424826545141867398205e-15,-0.77396805972553155528296290094811445264416776973821732481015250384346530157381319,-0.77396805972553143076787655411947277196390618334746822362988735830912699460892481,-1.7530300862858109111801235218449987943738667057737169081852636023679886359221046,-1.7530300862858107866650371750163571136936051193829678070049984568336503289572163
69,1.0e-18,1.29412816424826545141867398205e-15,-0.77396805972553155528296290094811445264416776973821732481015250384346530157381319,-0.77396805972553143076787655411947277196390618334746822362988735830912699460892481,1.7530300862858107866650371750163571136936051193829678070049984568336503289572163,1.7530300862858109111801235218449987943738667057737169081852636023679886359221046
70,1.0e-18,1.64160495660216094690007813436e-15,-2.4201957558157503912941327561337302143705702035390066120317990652530552713719034,-2.4201957558157502473745614555610497358963881201092133385445198012532461667460213,-3.7456423532169370512013343465172637291248809713459824575050436542219733886890851,-3.7456423532169369072817630459445832506506988879161891840177643902221642840648612
71,1.0e-18,1.64160495660216094690007813436e-15,-2.4201957558157503912941327561337302143705702035390066120317990652530552713719034,-2.4201957558157502473745614555610497358963881201092133385445198012532461667460213,3.7456423532169369072817630459445832506506988879161891840177643902221642840648612,3.7456423532169370512013343465172637291248809713459824575050436542219733886890851
72,1.0e-18,4.98553725990851762729548058754e-15,43.452648763140174183517056256344202719916551913116736726621505970618227138207536,43.452648763140174538728065006018702319264822692405051769316581127288008008451166,-0.00000000000000017760550437483724999215499390926290747845483843575728577577665877128100294725456,0.00000000000000017760550437483724999215499390926290747845483843575728577577665877128100294725456
73,1.0e-18,2.43017088739123999441610540396e-15,0.27871605335304219600331920623444056981855901437931919793556195169150145549299561,0.27871605335304233055772949818274705172931157548625161099054073473754279459019793,-0.69050152160068767642437501226933084353549890361339300315804669330211136217664242,-0.69050152160068754186996472032102436162474634250646059010306791025607002308551996
74,1.0e-18,2.43017088739123999441610540396e-15,0.27871605335304219600331920623444056981855901437931919793556195169150145549299561,0.27871605335304233055772949818274705172931157548625161099054073473754279459019793,0.69050152160068754186996472032102436162474634250646059010306791025607002308551996,0.69050152160068767642437501226933084353549890361339300315804669330211136217664242
