atlas_id,root_index,character_class,local_support_status,local_scheme_status,certification,trace_a,trace_b,trace_A,trace_B,kappa_ab,kappa_aA,kappa_aB,kappa_bA,kappa_bB,kappa_AB,min_complex_jacobian_singular_value
I022,23,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7435052317007282+0.626317235209354j),(1.3008392499381336+1.1277720907890334j),(0.6164354665420667-0.12731523779470916j),(-0.09188306588087682-0.1525052311271355j),(-3.117098421367358+1.4528284003327094j),(0.8123478397209332-2.4087879544148723j),(4.636741274977169-0.0053255427610067185j),(-0.533473664438378+0.44390362132939964j),(-1.5584392970978518+2.970402924296554j),(-1.070544977161503+0.5474362128579129j),0.03930211807014018
I023,24,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7296015124751-1.8682469624665534j),(-0.952511603453861+1.5897598618881128j),(-0.30459630534795723+0.3897142587095131j),(-0.6627952465567585+0.7364029190213959j),(-9.055542001296319+5.994547809702004j),(-1.9064795454169787+4.255358030341973j),(-4.599722389232802+5.334972894933339j),(0.20070515537605482-4.87285902195008j),(-5.476016144250571-5.746946766230956j),(-0.9774088325174057-0.09537243103639492j),0.041971426685225445
I024,25,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7296015124751+1.8682469624665534j),(-0.952511603453861-1.5897598618881128j),(-0.30459630534795723-0.3897142587095131j),(-0.6627952465567585-0.7364029190213959j),(-9.055542001296319-5.994547809702004j),(-1.9064795454169787-4.255358030341973j),(-4.599722389232802-5.334972894933339j),(0.20070515537605482+4.87285902195008j),(-5.476016144250571+5.746946766230956j),(-0.9774088325174057+0.09537243103639492j),0.041971426685225445
I025,26,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7084028068685293-2.506228900431472j),(-1.711618984574835+0.12195313358290447j),(0.8539009417017773-0.6794545066014444j),(0.59459245695878-0.9383982941459641j),(-0.04981182489066427+3.850948621120949j),(-1.4624263809572078+4.93055107970328j),(-9.631616540856037+7.408859187067584j),(1.8917550809828372+0.34161063238507194j),(2.6919163424190193-2.700806797896619j),(0.7294611844415209-4.828191508497044j),0.005032164876716745
I026,27,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7084028068685293+2.506228900431472j),(-1.711618984574835-0.12195313358290447j),(0.8539009417017773+0.6794545066014444j),(0.59459245695878+0.9383982941459641j),(-0.04981182489066427-3.850948621120949j),(-1.4624263809572078-4.93055107970328j),(-9.631616540856037-7.408859187067584j),(1.8917550809828372-0.34161063238507194j),(2.6919163424190193+2.700806797896619j),(0.7294611844415209+4.828191508497044j),0.005032164876716745
I027,28,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.5926122579876982-1.9163841251069955j),(1.7405399231798828-1.3362799059350774j),(0.033768642025894136-0.4307285744371592j),(-2.404318987639259-2.1054606324668046j),(-9.781615235897512-0.8300256885558817j),(-3.7427964593759606+5.646247846328361j),(-4.4196630602259175+31.60982034158594j),(2.2648999027461496-8.639647466346782j),(-52.78578713903151+27.096538721621705j),(-4.978045657202299-0.27176939204289674j),0.021352256958039127
I028,29,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.5926122579876982+1.9163841251069955j),(1.7405399231798828+1.3362799059350774j),(0.033768642025894136+0.4307285744371592j),(-2.404318987639259+2.1054606324668046j),(-9.781615235897512+0.8300256885558817j),(-3.7427964593759606-5.646247846328361j),(-4.4196630602259175-31.60982034158594j),(2.2648999027461496+8.639647466346782j),(-52.78578713903151-27.096538721621705j),(-4.978045657202299+0.27176939204289674j),0.021352256958039127
I029,30,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.5734856285941379-0.7459022124163361j),(0.4968653251069896-0.1171429616709701j),(-0.5614227028194632+0.33316314522806023j),(1.693320384393561-0.4386241300878385j),(0.950170405901106+2.458450551372908j),(0.9282197950000999+1.1628366264207135j),(1.1737645732219484+0.0803065965349623j),(0.6502829274336364-0.21255973302614045j),(0.9190176166350348-0.8058288778637425j),(0.9862559992465836-1.5134108684618113j),0.07045373374106836
I030,31,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.5734856285941379+0.7459022124163361j),(0.4968653251069896+0.1171429616709701j),(-0.5614227028194632-0.33316314522806023j),(1.693320384393561+0.4386241300878385j),(0.950170405901106-2.458450551372908j),(0.9282197950000999-1.1628366264207135j),(1.1737645732219484-0.0803065965349623j),(0.6502829274336364+0.21255973302614045j),(0.9190176166350348+0.8058288778637425j),(0.9862559992465836+1.5134108684618113j),0.07045373374106836
I031,32,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.5276778877024864-1.9188883747320068e-25j),(5.330108246368016+4.7894560211677455e-23j),(-1.055302880731603+2.4659665679463994e-24j),(2.667465756453996+8.726846339210723e-24j),(59.552544783080975+8.997557662678117e-22j),(4.2624481956943265+4.028873212785274e-23j),(5.767686291158137+4.8430609505433787e-23j),(85.91498374748694+1.5328643347414132e-21j),(2.715089743679073-8.969856079876965e-24j),(5.661037303827327+4.750183947701163e-23j),0.0007316829983768156
I032,33,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.4666587682034407-5.455765945504497j),(0.8232814855831464-0.06780411901398348j),(-0.8803211759348037+0.6998923633795706j),(0.19906039252249985+1.9457742504078048j),(2.894283691599287+2.9355336739078908j),(-26.744833294405037+4.8520820175932595j),(-48.391541641732005+24.456431436293073j),(0.14599527444331484-2.024994042514886j),(-5.787802496209059+0.5458827863757845j),(-4.935747769602039-4.624286302310697j),0.019164619955914446
