theta,A0,A_floor,bound
1.466485633,5.705714339e-02,5.705714339e-02,0
1.469553595,5.704910153e-02,5.704910153e-02,0
1.472621556,5.704091633e-02,5.704091633e-02,0
1.475689518,5.703259081e-02,5.703259081e-02,0
1.478757480,5.702412802e-02,5.702412802e-02,0
1.481825441,5.701553098e-02,5.701553098e-02,0
1.484893403,5.700680272e-02,5.700680272e-02,0
1.487961364,5.699794629e-02,5.699794629e-02,0
1.491029326,5.698896470e-02,5.698896470e-02,0
1.494097287,5.697986100e-02,5.697986100e-02,0
1.497165249,5.697063821e-02,5.697063821e-02,0
1.500233211,5.696129937e-02,5.696129937e-02,0
1.503301172,5.695184750e-02,5.695184750e-02,0
1.506369134,5.694228562e-02,5.694228562e-02,0
1.509437095,5.693261677e-02,5.693261677e-02,0
1.512505057,5.692284396e-02,5.692284396e-02,0
1.515573018,5.691297022e-02,5.691297022e-02,0
1.518640980,5.690299856e-02,5.690299856e-02,0
1.521708942,5.689293199e-02,5.689293199e-02,0
1.524776903,5.688277353e-02,5.688277353e-02,0
1.527844865,5.687252618e-02,5.687252618e-02,0
1.530912826,5.686219295e-02,5.686219295e-02,0
1.533980788,5.685177684e-02,5.685177684e-02,0
1.537048749,5.684128085e-02,5.684128085e-02,0
1.540116711,5.683070796e-02,5.683070796e-02,0
1.543184673,5.682006116e-02,5.682006116e-02,0
1.546252634,5.680934343e-02,5.680934343e-02,0
1.549320596,5.679855776e-02,5.679855776e-02,0
1.552388557,5.678770710e-02,5.678770710e-02,0
1.555456519,5.677679443e-02,5.677679443e-02,0
1.558524480,5.676582270e-02,5.676582270e-02,0
1.561592442,5.675479487e-02,5.675479487e-02,0
1.564660404,5.674371389e-02,5.674371389e-02,0
1.567728365,5.673258268e-02,5.673258268e-02,0
1.570796327,5.672140419e-02,5.672140419e-02,0
1.573864288,5.671018134e-02,5.671018134e-02,0
1.576932250,5.669891704e-02,5.669891704e-02,0
1.580000212,5.668761421e-02,5.668761421e-02,0
1.583068173,5.667627575e-02,5.667627575e-02,0
1.586136135,5.666490454e-02,5.666490454e-02,0
1.589204096,5.665350348e-02,5.665350348e-02,0
1.592272058,5.664207543e-02,5.664207543e-02,0
1.595340019,5.663062327e-02,5.663062327e-02,0
1.598407981,5.661914984e-02,5.661914984e-02,0
1.601475943,5.660765800e-02,5.660765800e-02,0
1.604543904,5.659615058e-02,5.659615058e-02,0
1.607611866,5.658463040e-02,5.658463040e-02,0
1.610679827,5.657310028e-02,5.657310028e-02,0
1.613747789,5.656156303e-02,5.656156303e-02,0
1.616815750,5.655002143e-02,5.655002143e-02,0
1.619883712,5.653847827e-02,5.653847827e-02,0
1.622951674,5.652693632e-02,5.652693632e-02,0
1.626019635,5.651539833e-02,5.651539833e-02,0
1.629087597,5.650386704e-02,5.650386704e-02,0
1.632155558,5.649234520e-02,5.649234520e-02,0
1.635223520,5.648083552e-02,5.648083552e-02,0
1.638291481,5.646934070e-02,5.646934070e-02,0
1.641359443,5.645786343e-02,5.645786343e-02,0
