ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,eps,h,n_steps
83,1.7694480299758957,0.5730969983755325,1.859942606730816,True,0.8205,0.05,1.859942606730816,0.05,1.0,0.05,0.01,2000
84,-1.4539927844435303,0.31514510323386513,1.4877538281940779,True,0.8315,0.049999999999999996,1.4877538281940779,0.05,1.0,0.05,0.01,2000
85,0.5322347051447633,-1.6748002602116852,1.7573359647391449,True,0.823,0.05,1.7573359647391449,0.05,1.0,0.05,0.01,2000
86,0.6473348190015593,0.36124739578626813,0.7413110338138386,True,0.866,0.05,0.7413110338138386,0.05,1.0,0.05,0.01,2000
87,0.2785437904565593,1.5680733205770054,1.5926206647872254,True,0.828,0.04999999999999999,1.5926206647872254,0.04999999999999999,1.0,0.05,0.01,2000
88,0.48893409290490947,0.5521990131899159,0.7375501999000906,True,0.8665,0.05,0.7375501999000906,0.05,1.0,0.05,0.01,2000
89,-0.35168209560828384,0.47717303124521177,0.5927684186249955,True,0.877,0.05,0.5927684186249955,0.05,1.0,0.05,0.01,2000
90,-0.47122399257887165,0.2509916752451437,0.5338996836713206,True,0.8825,0.049999999999999996,0.5338996836713206,0.05,1.0,0.05,0.01,2000
91,-0.08316565975432495,0.8769230481980914,0.8808578542667393,True,0.8575,0.049999999999999996,0.8808578542667393,0.05000000000000001,1.0,0.05,0.01,2000
92,0.4031103743139852,-1.4738833426510207,1.5280150789909461,True,0.83,0.05,1.5280150789909461,0.05,1.0,0.05,0.01,2000
93,-0.17576178190429395,-1.8676286078571176,1.8758808120092512,True,0.82,0.049999999999999996,1.8758808120092512,0.05,1.0,0.05,0.01,2000
94,-1.0340207124387086,-1.0131473738444094,1.447641680416835,True,0.833,0.049999999999999996,1.447641680416835,0.049999999999999996,1.0,0.05,0.01,2000
95,0.34284602135967696,1.5149692609886938,1.5532788726119948,True,0.8295,0.049999999999999996,1.5532788726119948,0.05,1.0,0.05,0.01,2000
96,0.9784891296301513,-0.2509109823025408,1.0101471664289303,True,0.8505,0.049999999999999996,1.0101471664289303,0.049999999999999996,1.0,0.05,0.01,2000
97,1.516244373354753,0.9441867479002972,1.7861930507760038,True,0.8225,0.04999999999999999,1.7861930507760038,0.04999999999999999,1.0,0.05,0.01,2000
98,-0.19998688850919377,-0.09206949855252514,0.220162549356838,True,0.9265,0.05,0.220162549356838,0.05,1.0,0.05,0.01,2000
99,0.2894199383338947,0.6548895300094997,0.7159917577886346,True,0.868,0.04999999999999999,0.7159917577886346,0.04999999999999999,1.0,0.05,0.01,2000
100,1.2243252529727098,0.07087600128567531,1.2263750375088922,True,0.841,0.05,1.2263750375088922,0.05,1.0,0.05,0.01,2000
101,0.1553870320365447,-0.3147101054695265,0.3509808829690966,True,0.9035,0.049999999999999996,0.3509808829690966,0.05,1.0,0.05,0.01,2000
102,1.0000786292359853,0.25725003287196746,1.0326349035681275,True,0.8495,0.05,1.0326349035681275,0.05,1.0,0.05,0.01,2000
103,0.7152224462759913,-0.4168286860617396,0.827822022647966,True,0.8605,0.049999999999999996,0.827822022647966,0.05000000000000001,1.0,0.05,0.01,2000
104,-1.2315611688945112,0.9391693246394485,1.5488001591788827,True,0.8295,0.04999999999999999,1.5488001591788827,0.049999999999999996,1.0,0.05,0.01,2000
105,-0.10629114071392404,-0.8794313895143563,0.8858314599614413,True,0.857,0.04999999999999999,0.8858314599614413,0.04999999999999999,1.0,0.05,0.01,2000
106,-0.0005622559324254935,0.8675411612290628,0.8675413434288906,True,0.8585,0.05,0.8675413434288906,0.05,1.0,0.05,0.01,2000
107,-1.1013623665783991,-0.21198728884677667,1.1215782064340314,True,0.8455,0.049999999999999996,1.1215782064340314,0.05,1.0,0.05,0.01,2000
108,-0.8760317845625407,-0.06786092893813149,0.878656242930178,True,0.8575,0.05,0.878656242930178,0.05,1.0,0.05,0.01,2000
109,0.43510920164260286,1.1225891581795455,1.203962804830915,True,0.842,0.05,1.203962804830915,0.05,1.0,0.05,0.01,2000
110,1.556497884993657,0.23377961432746988,1.5739563443961297,True,0.8285,0.05,1.5739563443961297,0.05,1.0,0.05,0.01,2000
111,1.3113430584309034,0.24962763240734723,1.3348912209450676,True,0.837,0.05,1.3348912209450676,0.05,1.0,0.05,0.01,2000
112,-0.4095030000008138,-1.0760551668823828,1.1513415779793323,True,0.844,0.049999999999999996,1.1513415779793323,0.049999999999999996,1.0,0.05,0.01,2000
113,0.8671523382859534,-0.014869087209909598,0.8672798092595333,True,0.8585,0.04999999999999999,0.8672798092595333,0.04999999999999999,1.0,0.05,0.01,2000
114,-0.6894168737659948,0.10052931778024816,0.6967078078840797,True,0.869,0.05,0.6967078078840797,0.05,1.0,0.05,0.01,2000
115,-0.2548683187253074,-1.5589029036426305,1.5795999882486988,True,0.8285,0.05,1.5795999882486988,0.05,1.0,0.05,0.01,2000
116,-1.2553991924062793,1.4411779372442406,1.9112877802921,True,0.819,0.05,1.9112877802921,0.05,1.0,0.05,0.01,2000
117,-0.36341698625182256,-0.6138162870256192,0.7133318583340259,True,0.868,0.049999999999999996,0.7133318583340259,0.05,1.0,0.05,0.01,2000
118,-0.9799695864929191,-0.5648739773862915,1.1311158211161718,True,0.845,0.04999999999999999,1.1311158211161718,0.05,1.0,0.05,0.01,2000
119,0.5386468884609553,0.2710590493653388,0.6030037136631167,True,0.8765,0.05,0.6030037136631167,0.05000000000000001,1.0,0.05,0.01,2000
120,-0.48161933459959455,0.28914311953243266,0.561748099269684,True,0.88,0.049999999999999996,0.561748099269684,0.049999999999999996,1.0,0.05,0.01,2000
121,-0.6610499739773396,-1.1638809223901332,1.3385088231308557,True,0.8365,0.05,1.3385088231308557,0.05,1.0,0.05,0.01,2000
122,0.7194127634395929,-1.7459734897858934,1.8883797688057673,True,0.8195,0.04999999999999999,1.8883797688057673,0.04999999999999999,1.0,0.05,0.01,2000
123,0.8929175755288493,0.8539537404491879,1.2355317832882637,True,0.8405,0.05,1.2355317832882637,0.05,1.0,0.05,0.01,2000
124,-1.7864212858720914,-0.1717984272506548,1.794663118867353,True,0.822,0.05,1.794663118867353,0.05,1.0,0.05,0.01,2000
125,-1.9181437897404474,0.14202852623335452,1.9233948373601986,True,0.8185,0.049999999999999996,1.9233948373601986,0.05000000000000002,1.0,0.05,0.01,2000
126,0.22652568961821562,-0.12560169105976765,0.2590167424204109,True,0.9185,0.04999999999999999,0.2590167424204109,0.05,1.0,0.05,0.01,2000
127,0.2286039526867672,1.4754798398961548,1.493084232427627,True,0.8315,0.05,1.493084232427627,0.05,1.0,0.05,0.01,2000
128,0.8804317512348266,1.3941598211081256,1.6488910441186417,True,0.8265,0.049999999999999996,1.6488910441186417,0.049999999999999996,1.0,0.05,0.01,2000
129,0.6040573626431422,-1.2889764413948472,1.4234976515029143,True,0.8335,0.049999999999999996,1.4234976515029143,0.049999999999999996,1.0,0.05,0.01,2000
130,0.8466932104462135,-0.17366407334628717,0.8643197342343518,True,0.8585,0.04999999999999999,0.8643197342343518,0.05,1.0,0.05,0.01,2000
131,1.229233099461895,0.74962744456405,1.439776134840526,True,0.833,0.049999999999999996,1.439776134840526,0.05000000000000001,1.0,0.05,0.01,2000
132,-0.07996941881333719,-0.9656722464814708,0.9689778096375136,True,0.853,0.049999999999999996,0.9689778096375136,0.049999999999999996,1.0,0.05,0.01,2000
133,-1.9644459534978056,-0.35501537179976544,1.9962674716650644,True,0.817,0.049999999999999996,1.9962674716650644,0.049999999999999996,1.0,0.05,0.01,2000
134,-0.7985815971694318,0.7952751453038999,1.127029335942867,True,0.8455,0.05,1.127029335942867,0.05,1.0,0.05,0.01,2000
135,-1.0118071454942503,1.4030219279958556,1.7298046797573507,True,0.824,0.05,1.7298046797573507,0.05,1.0,0.05,0.01,2000
136,-0.8301780195722099,1.0959986863279718,1.3749213303362038,True,0.8355,0.049999999999999996,1.3749213303362038,0.049999999999999996,1.0,0.05,0.01,2000
137,0.16254319233351927,-1.5447748475399354,1.55330280981076,True,0.8295,0.04999999999999999,1.55330280981076,0.05,1.0,0.05,0.01,2000
138,0.05678174543882195,-0.7967829794791061,0.798803657354347,True,0.8625,0.04999999999999999,0.798803657354347,0.05000000000000001,1.0,0.05,0.01,2000
139,-0.3312447963848681,1.9415036834646355,1.9695582418498825,True,0.8175,0.049999999999999996,1.9695582418498825,0.049999999999999996,1.0,0.05,0.01,2000
140,-0.3500759682943235,-0.18483802329953283,0.3958765949566694,True,0.8975,0.05,0.3958765949566694,0.05,1.0,0.05,0.01,2000
141,-1.4266719184333103,-1.2371847948316232,1.888390579146366,True,0.8195,0.049999999999999996,1.888390579146366,0.049999999999999996,1.0,0.05,0.01,2000
142,0.8879793777520999,-0.6144289594529292,1.0798288389959845,True,0.8475,0.05,1.0798288389959845,0.05,1.0,0.05,0.01,2000
143,-0.7879377531255066,-0.15587440554279944,0.8032077770438935,True,0.862,0.05,0.8032077770438935,0.05,1.0,0.05,0.01,2000
144,0.48845439571346566,-0.12232563092644523,0.5035387340347909,True,0.8855,0.049999999999999996,0.5035387340347909,0.049999999999999996,1.0,0.05,0.01,2000
145,-0.15198399900046833,0.6029405886848389,0.6218010046918503,True,0.875,0.05,0.6218010046918503,0.05,1.0,0.05,0.01,2000
