ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,omega,drive,eps,h,n_steps
135,0.13666750901422967,0.26673791813893716,0.29971173649566824,False,0.0,0.08585901757814725,0.29971173649566824,0.10606601707304159,1.0,1.0,0.15,0.05,0.01,2000
136,-0.24884828166440828,-0.16044415780176427,0.2960874787289157,False,0.0,0.10502182014752773,0.2960874787289157,0.10606601687469668,1.0,1.0,0.15,0.05,0.01,2000
137,-1.1186382572595592,0.883226501956083,1.4252861482391115,False,0.0,0.1049471031439973,1.4252861482391115,0.10606601420398319,1.0,1.0,0.15,0.05,0.01,2000
138,-0.7720716483911938,-0.02196301063305515,0.772383974513689,False,0.0,0.10473191254485878,0.772383974513689,0.10606601581005595,1.0,1.0,0.15,0.05,0.01,2000
139,1.0535079583846487,-1.4285578611237617,1.7750088960222954,False,0.0,0.08666366959772435,1.7750088960222954,0.10606602054735739,1.0,1.0,0.15,0.05,0.01,2000
140,0.11609966226772105,0.25287699690889937,0.2782551116230255,False,0.0,0.08613651915711802,0.2782551116230255,0.10606601705257,1.0,1.0,0.15,0.05,0.01,2000
141,0.002409367783279153,0.6261361323892578,0.6261407679879128,True,0.0195,0.0489278938427979,0.6261407679879128,0.1060660166968176,1.0,1.0,0.15,0.05,0.01,2000
142,-1.0621054403969712,0.6168090370327687,1.2282187731369911,False,0.0,0.10493126911718259,1.2282187731369911,0.10606601459749387,1.0,1.0,0.15,0.05,0.01,2000
143,-0.20232657317506525,0.20588118302504024,0.2886574158696692,True,0.0575,0.04815183686627341,0.2886574158696692,0.10606601664918307,1.0,1.0,0.15,0.05,0.01,2000
144,0.917401514159332,0.6813693235506161,1.142755307691747,False,0.0,0.05684170629494633,1.142755307691747,0.10606601797362133,1.0,1.0,0.15,0.05,0.01,2000
145,1.6104112893336155,0.5452906373454007,1.7002253968194074,False,0.0,0.05200972717992543,1.7002253968194074,0.10606601933131136,1.0,1.0,0.15,0.05,0.01,2000
146,1.5146704936372053,1.0876289281320233,1.8647153642325118,True,0.024,0.04872731099799387,1.8647153642325118,0.10606601952130079,1.0,1.0,0.15,0.05,0.01,2000
147,1.4068871772401494,-0.9867558058143033,1.7184349128759548,False,0.0,0.08132501660209823,1.7184349128759548,0.10606602067354015,1.0,1.0,0.15,0.05,0.01,2000
148,0.6303875772029269,-1.8592666940782818,1.9632272250558669,False,0.0,0.08964052597745752,1.9632272250558669,0.10606602028742393,1.0,1.0,0.15,0.05,0.01,2000
149,-1.0024326835316033,-1.2509711071083145,1.603059573388392,False,0.0,0.10042275049366656,1.603059573388392,0.10606601676993754,1.0,1.0,0.15,0.05,0.01,2000
150,1.062926731273834,1.1988371772200181,1.6021934382406322,True,0.0275,0.04858322709675945,1.6021934382406322,0.1060660189030306,1.0,1.0,0.15,0.05,0.01,2000
151,-1.1602739714133288,-0.10396470572677577,1.1649224647057475,False,0.0,0.10406040380019113,1.1649224647057475,0.1060660152247545,1.0,1.0,0.15,0.05,0.01,2000
152,-1.696215862025321,0.4038524929684244,1.7436298594206034,False,0.0,0.10397362547486864,1.7436298594206034,0.1060660137289332,1.0,1.0,0.15,0.05,0.01,2000
153,-0.5712085945080339,-0.686627613466369,0.8931610929806363,False,0.0,0.10280054920164432,0.8931610929806363,0.10606601689598837,1.0,1.0,0.15,0.05,0.01,2000
154,0.43397653543845427,0.5230360426469374,0.6796339715015228,False,0.0,0.06869296507621044,0.6796339715015228,0.1060660173070095,1.0,1.0,0.15,0.05,0.01,2000
155,-0.9188828705834557,0.5288042926237565,1.0601790932427424,False,0.0,0.10506505195801902,1.0601790932427424,0.10606601494440161,1.0,1.0,0.15,0.05,0.01,2000
156,-0.4163769189212426,0.45752405053754114,0.6186258929519727,True,0.0175,0.04832663382587917,0.6186258929519727,0.10606601560466328,1.0,1.0,0.15,0.05,0.01,2000
157,-0.40216750466078605,0.7596134322722153,0.8595064096872453,True,0.018,0.04830517104684243,0.8595064096872453,0.10606601518887021,1.0,1.0,0.15,0.05,0.01,2000
158,-0.3469067312725939,-0.812038876952877,0.8830353435084721,False,0.0,0.10192991957105148,0.8830353435084721,0.10606601742553513,1.0,1.0,0.15,0.05,0.01,2000
159,0.6967882306888,-0.23194115763152537,0.7343776542283136,False,0.0,0.09297157813660892,0.7343776542283136,0.1060660186008539,1.0,1.0,0.15,0.05,0.01,2000
160,-1.836139082944431,0.22129484220122222,1.8494264351687202,False,0.0,0.10359486937269356,1.8494264351687202,0.10606601368741213,1.0,1.0,0.15,0.05,0.01,2000
161,-0.7715248225318537,-0.17467059885817388,0.7910501690084399,False,0.0,0.10442955800647254,0.7910501690084399,0.10606601598012773,1.0,1.0,0.15,0.05,0.01,2000
162,-0.992493453831302,-1.4138239572478877,1.7274088797925242,False,0.0,0.09966465394365993,1.7274088797925242,0.10606601696760327,1.0,1.0,0.15,0.05,0.01,2000
163,-1.6131981680987564,-0.33642757951327945,1.6479052903047393,False,0.0,0.10301278019470399,1.6479052903047393,0.10606601469336112,1.0,1.0,0.15,0.05,0.01,2000
164,-0.3180038499710881,1.3009491746008173,1.3392517326817173,True,0.011,0.04883268183524682,1.3392517326817173,0.10606601491364039,1.0,1.0,0.15,0.05,0.01,2000
165,0.44863929461990937,1.4552202756353136,1.5228076921585234,True,0.044,0.04800253108297694,1.5228076921585234,0.10606601689437559,1.0,1.0,0.15,0.05,0.01,2000
166,0.9297111046262686,-1.1135456432797475,1.4506366318732968,False,0.0,0.08929662587063948,1.4506366318732968,0.10606601998287829,1.0,1.0,0.15,0.05,0.01,2000
167,-0.32951324786594743,-0.28823049720119703,0.4377851071427791,False,0.0,0.10449968028675909,0.4377851071427791,0.10606601687572556,1.0,1.0,0.15,0.05,0.01,2000
168,-0.05641516499391249,-0.3668599735567163,0.37117234681388234,False,0.0,0.10378404589570332,0.37117234681388234,0.1060660174384492,1.0,1.0,0.15,0.05,0.01,2000
169,0.32395027575176394,-0.13792038805516302,0.35208779388233646,False,0.0,0.10105430596143058,0.35208779388233646,0.106066017847372,1.0,1.0,0.15,0.05,0.01,2000
170,0.4324870325920038,-0.1142931292587044,0.44733427406804394,False,0.0,0.0984567523234945,0.44733427406804394,0.10606601801023942,1.0,1.0,0.15,0.05,0.01,2000
171,-1.36532297828863,-0.9114361598541546,1.641591516953174,False,0.0,0.1017047647749596,1.641591516953174,0.10606601576188102,1.0,1.0,0.15,0.05,0.01,2000
